student_id,archetype,mood_score,sleep_hours,study_hours,attendance_pct,internal_marks_avg,days_to_next_exam,assignment_deadlines,placement_anxiety,gate_cat_prep,family_stress,social_isolation,physical_activity_hrs,social_media_hours,burnout_score,burnout_risk_level
STU-0016,at_risk,3.3,2.6,4.1,27.0,45.0,68,4,0,1,0,1,0.5,4.2,86.66,Critical
STU-0017,high_achiever,7.9,6.1,5.1,91.3,78.6,33,8,1,1,0,1,1.2,0.9,52.24,Moderate
STU-0018,high_achiever,7.2,6.3,8.0,84.8,86.4,64,3,0,1,0,0,1.5,0.6,34.01,Moderate
STU-0019,balanced,7.5,7.6,4.0,71.4,79.2,0,5,0,0,0,0,1.3,2.0,32.64,Moderate
STU-0020,overworked,4.5,5.2,9.9,70.9,88.7,30,0,1,1,0,0,0.5,1.2,56.22,High
STU-0021,balanced,6.2,7.6,6.9,75.4,82.7,68,2,0,1,0,0,1.4,2.3,33.25,Moderate
STU-0022,balanced,7.0,6.4,4.4,75.5,74.4,54,3,0,0,0,0,1.3,2.0,28.22,Low
STU-0023,at_risk,2.5,5.0,1.6,70.0,45.5,85,5,0,0,0,1,0.0,4.1,65.82,High
STU-0024,overworked,5.2,5.7,10.2,77.3,61.5,75,8,0,1,1,0,0.0,1.8,59.62,High
STU-0025,balanced,7.4,6.0,5.7,85.1,67.9,4,5,1,1,0,0,1.3,1.8,53.04,Moderate
STU-0026,balanced,7.6,7.4,6.8,90.4,64.0,73,7,1,0,0,0,0.8,2.1,35.47,Moderate
STU-0027,balanced,7.7,9.0,6.2,91.1,82.6,45,6,0,0,1,0,1.5,1.6,24.72,Low
STU-0028,overworked,4.3,4.8,8.8,78.8,93.1,7,6,0,1,0,0,0.0,2.7,61.36,High
STU-0029,high_achiever,7.4,7.3,7.1,85.6,80.7,17,6,0,1,0,0,1.3,1.0,32.38,Moderate
STU-0030,balanced,7.2,6.5,8.1,87.1,58.8,70,1,0,0,1,0,1.3,1.4,33.32,Moderate
STU-0031,balanced,6.4,6.9,6.1,88.9,65.4,30,2,0,0,0,0,1.1,1.5,25.65,Low
STU-0032,overworked,8.1,5.4,7.6,87.2,91.2,0,6,1,0,0,1,0.7,1.0,59.29,High
STU-0033,overworked,7.4,4.3,10.2,85.7,60.7,71,7,0,1,0,0,0.4,0.0,49.35,Moderate
STU-0034,balanced,6.9,6.0,7.5,70.6,71.5,40,0,1,0,0,0,1.3,2.7,33.88,Moderate
STU-0035,balanced,8.4,7.0,4.3,85.7,76.6,65,1,0,0,0,1,1.0,1.8,26.76,Low
STU-0036,at_risk,2.6,4.2,4.4,29.4,60.0,72,3,1,1,0,1,0.0,5.9,91.31,Critical
STU-0037,struggling,4.4,3.8,3.2,56.1,44.9,40,4,1,1,0,0,0.6,5.3,73.68,High
STU-0038,balanced,8.1,7.2,6.5,87.0,68.4,38,7,0,0,0,0,1.0,2.2,27.45,Low
STU-0039,overworked,5.5,5.1,11.4,72.1,75.5,12,1,0,1,0,0,0.3,2.0,58.61,High
STU-0040,struggling,5.2,5.5,5.5,62.3,60.2,31,5,1,1,1,1,0.2,5.3,74.16,High
STU-0041,overworked,5.6,5.6,8.3,98.9,59.9,83,8,1,1,0,0,0.0,3.1,60.61,High
STU-0042,balanced,7.8,7.5,5.5,74.8,75.6,17,4,0,0,0,0,0.9,2.4,23.92,Low
STU-0043,balanced,6.4,6.7,6.0,77.5,68.4,43,3,1,0,0,0,1.3,1.9,33.68,Moderate
STU-0044,struggling,3.3,4.8,1.3,45.1,43.4,6,1,0,0,1,0,0.2,5.3,90.05,Critical
STU-0045,struggling,5.3,4.3,3.5,50.0,51.8,33,2,0,1,1,1,0.2,5.3,72.79,High
STU-0046,high_achiever,8.2,7.6,6.9,93.0,89.1,88,2,0,1,1,0,0.8,1.5,31.18,Moderate
STU-0047,struggling,4.1,3.6,3.5,68.0,69.4,39,5,0,0,1,1,0.6,8.0,69.9,High
STU-0048,at_risk,3.4,3.7,5.3,35.9,27.9,31,1,0,0,0,1,0.0,2.0,73.55,High
STU-0049,overworked,4.4,5.2,10.0,96.8,79.5,30,2,0,0,0,0,0.2,1.5,45.14,Moderate
STU-0050,at_risk,1.2,5.3,3.8,41.0,17.4,42,6,0,0,1,1,0.4,6.0,92.53,Critical
STU-0051,high_achiever,6.5,6.1,7.0,91.2,82.3,13,6,0,0,0,0,1.2,0.9,36.64,Moderate
STU-0052,at_risk,2.6,4.0,3.1,31.1,19.6,39,3,0,0,0,1,0.4,6.9,87.03,Critical
STU-0053,balanced,8.8,7.1,6.9,82.5,91.5,35,5,0,0,0,1,1.9,1.7,28.33,Low
STU-0054,struggling,5.0,6.1,2.1,70.2,64.7,14,4,1,0,0,0,0.0,3.0,44.97,Moderate
STU-0055,balanced,6.9,7.6,7.3,82.6,88.0,40,6,0,0,1,0,0.6,0.8,32.91,Moderate
STU-0056,struggling,4.6,4.5,0.4,60.9,36.3,90,6,1,0,0,1,0.5,5.3,73.84,High
STU-0057,balanced,6.7,6.2,5.4,89.6,67.1,85,3,0,0,0,0,1.4,1.5,27.05,Low
STU-0058,overworked,5.3,4.0,8.7,66.0,89.6,15,4,1,0,0,0,0.4,1.6,55.0,High
STU-0059,struggling,3.8,4.2,4.4,71.1,45.6,24,6,0,0,0,0,0.1,4.4,54.9,Moderate
STU-0060,struggling,1.7,6.1,6.0,59.0,58.9,51,8,1,0,1,0,0.4,9.4,81.05,Critical
STU-0061,high_achiever,7.7,5.8,5.1,92.0,80.5,41,7,1,1,0,0,0.4,1.1,44.63,Moderate
STU-0062,overworked,8.0,5.9,9.5,92.8,70.8,21,1,0,1,0,0,0.1,3.4,40.82,Moderate
STU-0063,overworked,3.9,4.8,8.2,64.2,79.3,30,4,0,0,1,0,1.0,1.1,51.95,Moderate
STU-0064,balanced,6.5,6.6,4.8,75.1,75.4,9,7,1,1,0,0,0.9,2.0,52.04,Moderate
STU-0065,overworked,5.1,4.1,8.6,85.6,75.0,31,2,0,1,0,0,0.1,2.3,51.76,Moderate
STU-0066,struggling,1.5,5.2,2.5,68.8,42.8,54,3,1,0,0,1,0.0,2.4,70.23,High
STU-0067,balanced,7.5,6.3,6.3,68.7,74.5,15,7,0,0,1,0,0.7,1.4,38.03,Moderate
STU-0068,balanced,6.3,6.7,6.7,77.4,81.7,56,8,0,0,0,0,0.7,2.1,36.22,Moderate
STU-0069,overworked,1.8,4.2,10.4,76.0,73.7,57,4,0,1,1,0,0.2,2.3,66.96,High
STU-0070,high_achiever,8.7,6.7,7.4,88.9,82.1,30,4,0,1,0,0,0.8,1.6,30.04,Moderate
STU-0071,overworked,5.9,7.0,10.8,74.7,82.0,10,2,0,1,0,0,0.3,0.6,46.41,Moderate
STU-0072,balanced,5.3,6.7,5.5,95.4,77.6,42,8,0,1,0,0,1.1,2.3,38.41,Moderate
STU-0073,overworked,5.9,5.8,7.3,89.4,73.4,89,0,1,0,0,0,0.3,2.7,44.32,Moderate
STU-0074,at_risk,2.7,3.7,1.3,35.3,48.0,49,6,0,0,1,1,0.0,6.3,87.14,Critical
STU-0075,struggling,4.7,4.9,5.1,55.9,48.8,34,6,0,0,0,0,0.0,4.1,58.26,High
STU-0076,overworked,6.6,4.1,10.8,91.6,74.1,59,2,1,0,0,0,1.0,1.6,46.26,Moderate
STU-0077,at_risk,1.0,5.0,3.0,47.2,41.4,10,6,1,0,1,1,0.0,10.0,100.0,Critical
STU-0078,balanced,7.3,7.6,6.1,83.8,68.7,41,5,0,1,0,0,1.4,2.9,33.64,Moderate
STU-0079,high_achiever,9.1,6.1,5.8,90.4,85.3,10,7,1,0,0,0,1.4,0.6,40.01,Moderate
STU-0080,balanced,7.0,6.7,4.3,68.8,81.6,83,0,0,0,0,0,1.2,1.0,23.48,Low
STU-0081,high_achiever,7.5,7.7,6.7,83.5,83.5,16,7,0,1,1,0,0.9,0.1,36.83,Moderate
STU-0082,struggling,3.7,5.3,6.3,75.5,48.8,21,1,1,1,0,0,0.0,8.7,69.98,High
STU-0083,high_achiever,7.8,6.5,7.2,90.3,81.6,73,6,1,1,0,0,0.8,1.4,41.47,Moderate
STU-0084,overworked,4.4,5.1,9.1,93.0,45.0,13,4,0,1,0,0,0.7,3.2,61.84,High
STU-0085,at_risk,2.2,3.1,0.0,36.3,24.7,44,8,1,1,0,1,0.5,8.1,100.0,Critical
STU-0086,overworked,6.6,3.9,8.7,82.9,57.8,62,1,1,1,0,0,0.6,2.0,53.19,Moderate
STU-0087,overworked,6.6,5.4,9.0,89.6,59.2,22,8,1,0,0,1,0.6,2.7,56.4,High
STU-0088,at_risk,2.8,2.2,3.4,45.2,31.7,55,4,1,0,1,1,0.3,4.8,92.72,Critical
STU-0089,overworked,3.2,5.6,7.6,95.5,49.2,59,6,1,0,1,0,0.9,2.4,59.81,High
STU-0090,overworked,4.7,5.4,9.4,89.0,71.1,33,5,1,1,0,0,0.4,1.9,56.91,High
STU-0091,overworked,6.0,3.3,7.5,85.4,71.7,24,1,0,0,0,0,0.3,2.2,42.21,Moderate
STU-0092,balanced,6.7,6.4,5.7,74.2,78.3,62,7,0,0,0,0,0.5,2.4,35.54,Moderate
STU-0093,high_achiever,8.0,7.2,9.0,96.1,74.0,74,5,1,1,0,0,0.5,1.1,42.21,Moderate
STU-0094,overworked,6.3,4.3,9.8,70.4,63.9,89,7,0,1,0,0,0.0,1.5,52.87,Moderate
STU-0095,overworked,4.0,6.1,8.1,100.0,74.9,68,2,1,1,1,1,0.5,1.5,63.79,High
STU-0096,balanced,6.6,7.1,8.6,81.2,84.2,76,4,0,0,0,0,0.9,1.8,32.73,Moderate
STU-0097,at_risk,1.9,5.3,3.1,39.6,45.6,90,8,0,0,1,1,0.3,7.4,84.71,Critical
STU-0098,balanced,6.5,6.8,5.4,87.0,76.4,81,7,1,1,0,0,0.7,2.0,46.47,Moderate
STU-0099,balanced,7.8,7.9,6.5,85.7,74.4,6,4,1,0,0,0,0.5,2.1,40.2,Moderate
STU-0100,at_risk,2.8,2.2,0.4,63.8,37.5,80,0,1,0,1,1,0.2,6.3,87.33,Critical
STU-0101,balanced,8.1,6.6,5.6,78.3,71.5,71,6,0,0,1,0,1.1,1.9,30.68,Moderate
STU-0102,struggling,5.9,3.4,3.2,56.7,69.4,56,4,0,1,0,0,0.4,6.3,60.08,High
STU-0103,at_risk,2.8,4.4,2.1,64.0,31.8,12,3,0,0,1,1,0.4,10.0,95.76,Critical
STU-0104,struggling,3.3,6.2,5.9,55.7,47.0,20,0,1,1,1,0,0.2,2.8,65.02,High
STU-0105,overworked,4.0,4.2,9.4,80.3,85.5,36,7,0,1,1,0,0.1,3.0,64.25,High
STU-0106,balanced,7.2,7.5,4.2,85.1,76.3,25,6,1,0,0,0,1.4,2.0,36.04,Moderate
STU-0107,balanced,6.6,6.6,4.8,77.6,69.9,7,2,1,1,0,0,1.7,2.7,44.74,Moderate
STU-0108,high_achiever,7.1,6.8,6.3,94.2,86.2,59,4,0,0,0,0,0.4,2.2,31.88,Moderate
STU-0109,struggling,3.1,4.0,3.9,66.0,59.9,5,6,0,0,1,1,0.9,4.5,86.89,Critical
STU-0110,high_achiever,6.7,6.0,7.0,100.0,81.9,73,0,0,1,0,0,1.1,1.4,34.76,Moderate
STU-0111,at_risk,5.0,3.0,1.3,63.7,46.2,60,8,1,0,1,1,0.5,7.4,85.17,Critical
STU-0112,struggling,4.9,5.8,4.7,68.1,64.8,62,1,0,1,0,0,0.7,6.9,52.09,Moderate
STU-0113,overworked,5.2,5.1,11.3,69.8,73.7,52,7,1,1,1,1,0.3,2.2,76.35,Critical
STU-0114,overworked,5.8,5.0,7.5,85.5,76.5,40,4,0,0,0,0,1.0,2.0,37.01,Moderate
STU-0115,overworked,5.9,6.6,9.4,80.8,76.1,84,8,0,1,0,0,0.5,1.8,46.08,Moderate
STU-0116,overworked,7.1,4.0,9.7,71.0,82.0,56,0,1,1,0,0,0.0,1.8,54.47,Moderate
STU-0117,balanced,8.8,6.9,4.8,97.0,63.4,15,0,0,0,0,0,0.3,2.1,20.8,Low
STU-0118,at_risk,1.5,4.2,2.4,39.5,22.6,70,6,1,0,1,1,0.3,7.5,100.0,Critical
STU-0119,balanced,9.0,6.1,3.7,76.5,74.6,19,7,0,0,0,0,1.3,1.7,26.81,Low
STU-0120,at_risk,1.2,4.9,1.9,64.8,42.1,60,3,1,0,1,1,0.2,7.3,86.41,Critical
STU-0121,overworked,6.5,6.3,9.8,85.1,69.1,17,1,1,1,0,0,0.8,1.7,48.03,Moderate
STU-0122,overworked,5.4,3.6,9.7,71.2,78.4,0,4,0,1,0,0,0.2,1.8,69.05,High
STU-0123,high_achiever,7.4,5.0,5.1,94.8,89.7,57,8,0,0,0,0,1.2,0.9,35.17,Moderate
STU-0124,overworked,5.5,3.8,11.8,86.8,67.8,24,3,1,0,0,0,0.4,2.4,53.33,Moderate
STU-0125,struggling,3.6,3.7,2.0,58.6,73.6,90,6,1,0,1,0,0.5,3.9,69.99,High
STU-0126,overworked,7.6,5.9,9.6,71.5,77.0,4,2,0,0,0,0,0.5,2.9,46.47,Moderate
STU-0127,struggling,5.6,3.9,5.5,64.4,75.0,67,7,1,0,0,0,0.1,7.4,66.1,High
STU-0128,balanced,6.5,6.6,5.1,85.4,79.2,33,5,1,0,0,1,1.0,1.8,46.92,Moderate
STU-0129,struggling,6.6,5.0,3.6,63.4,59.4,68,6,1,1,1,0,0.0,4.4,63.22,High
STU-0130,at_risk,2.9,4.1,1.3,70.0,23.3,79,1,1,0,1,1,0.0,6.6,86.4,Critical
STU-0131,balanced,8.9,6.6,6.8,81.7,73.6,12,1,0,0,0,1,1.6,2.2,27.3,Low
STU-0132,overworked,7.7,6.4,8.6,82.0,74.9,37,5,0,0,1,0,0.5,1.8,35.35,Moderate
STU-0133,overworked,5.5,6.2,10.3,74.3,77.7,21,2,1,1,0,0,0.0,3.1,52.13,Moderate
STU-0134,balanced,6.8,6.1,3.9,91.3,71.3,18,3,0,0,0,0,1.3,1.8,28.92,Low
STU-0135,overworked,5.6,3.7,11.0,73.1,54.4,36,8,1,1,1,0,0.3,3.4,77.11,Critical
STU-0136,balanced,6.9,6.7,5.1,98.6,78.1,54,4,0,0,0,0,1.4,2.4,28.11,Low
STU-0137,overworked,5.1,4.8,9.4,77.6,77.3,48,5,1,0,0,1,0.4,2.8,59.64,High
STU-0138,struggling,4.1,2.1,4.9,66.2,64.0,35,0,0,1,0,0,0.0,7.9,68.51,High
STU-0139,struggling,5.7,3.3,4.4,49.4,44.5,63,4,0,0,1,0,0.9,4.5,64.73,High
STU-0140,high_achiever,8.5,6.8,7.2,92.8,99.4,32,2,1,0,0,0,1.0,1.5,30.72,Moderate
STU-0141,struggling,5.7,5.9,4.5,48.3,71.6,74,5,0,0,1,0,0.0,5.3,54.79,Moderate
STU-0142,high_achiever,7.7,6.7,7.4,93.1,94.7,16,8,1,1,0,0,1.2,1.3,43.92,Moderate
STU-0143,at_risk,3.7,2.3,2.9,58.5,34.4,61,4,1,0,1,1,0.4,5.9,89.92,Critical
STU-0144,high_achiever,7.7,6.5,5.7,83.8,94.6,28,6,1,1,0,0,0.7,0.9,39.35,Moderate
STU-0145,at_risk,1.9,2.2,4.5,63.1,29.7,68,1,0,0,0,1,0.6,8.2,83.26,Critical
STU-0146,overworked,1.8,7.0,7.4,61.5,80.2,47,1,0,0,0,0,1.1,3.3,44.74,Moderate
STU-0147,struggling,4.9,5.5,4.6,65.4,53.3,78,3,1,0,0,1,0.3,3.7,60.01,High
STU-0148,struggling,1.5,4.4,2.0,48.8,54.2,14,2,0,0,0,0,0.7,6.2,63.87,High
STU-0149,balanced,6.2,7.8,4.3,80.2,79.4,68,2,1,0,1,0,0.8,1.9,34.68,Moderate
STU-0150,overworked,4.6,5.3,7.1,82.4,69.8,75,2,1,0,0,0,0.6,2.4,47.63,Moderate
STU-0151,at_risk,2.6,3.1,2.2,56.1,38.6,35,0,1,0,1,0,0.1,4.8,77.23,Critical
STU-0152,struggling,1.9,6.6,1.6,53.7,43.4,87,5,1,0,1,1,0.6,4.4,79.0,Critical
STU-0153,struggling,3.0,4.8,2.2,85.0,37.7,15,7,0,0,1,1,0.4,5.8,73.51,High
STU-0154,balanced,7.0,6.9,5.6,80.8,82.7,42,3,1,0,0,1,2.1,1.5,34.44,Moderate
STU-0155,at_risk,2.4,6.0,0.8,70.0,58.1,75,3,0,0,0,1,0.0,7.3,65.39,High
STU-0156,high_achiever,7.5,6.4,6.3,85.9,81.1,35,2,1,0,0,0,0.5,1.4,33.18,Moderate
STU-0157,at_risk,2.7,1.9,2.5,60.5,15.0,16,0,1,0,1,0,0.2,8.7,91.08,Critical
STU-0158,overworked,8.0,5.4,8.4,77.4,75.6,16,6,0,1,1,0,0.4,2.6,45.34,Moderate
STU-0159,struggling,4.3,2.8,3.3,51.2,43.2,13,7,0,0,0,0,0.7,6.4,83.06,Critical
STU-0160,struggling,2.4,4.1,5.3,63.7,75.0,66,4,0,1,0,0,0.4,5.1,63.89,High
STU-0161,overworked,5.7,4.8,10.6,87.6,62.1,87,1,0,1,0,0,0.0,0.7,50.11,Moderate
STU-0162,overworked,3.8,2.8,10.1,100.0,69.9,8,2,0,1,1,0,0.7,2.3,72.16,High
STU-0163,overworked,6.9,4.7,9.9,81.2,63.3,67,4,0,1,0,0,0.7,2.1,45.14,Moderate
STU-0164,overworked,6.3,4.1,9.5,77.9,80.9,83,8,0,1,0,0,0.5,2.2,54.2,Moderate
STU-0165,high_achiever,8.9,6.9,7.0,84.4,78.6,58,6,1,1,0,0,0.9,1.1,37.32,Moderate
STU-0166,overworked,5.6,5.5,9.4,82.9,70.6,19,7,1,1,0,0,0.0,1.4,57.17,High
STU-0167,balanced,6.0,7.5,7.3,91.8,73.3,16,8,0,1,1,0,1.8,1.9,39.55,Moderate
STU-0168,balanced,6.6,6.8,5.0,83.4,76.3,85,6,0,0,0,0,1.2,2.1,31.75,Moderate
STU-0169,at_risk,3.4,2.0,0.0,62.0,21.6,73,8,0,0,1,1,0.1,3.9,84.5,Critical
STU-0170,balanced,7.7,7.6,4.8,61.3,70.6,47,1,0,0,1,0,1.4,0.9,28.18,Low
STU-0171,high_achiever,7.8,6.9,7.1,86.1,92.2,79,8,0,0,0,0,0.9,1.4,27.79,Low
STU-0172,balanced,6.8,6.3,5.3,95.7,64.0,89,4,0,0,0,0,0.6,2.7,32.22,Moderate
STU-0173,at_risk,1.8,4.5,1.1,70.0,46.1,8,2,1,1,1,1,0.0,10.0,100.0,Critical
STU-0174,high_achiever,8.4,6.7,8.6,98.8,85.2,58,5,0,1,0,0,0.7,1.6,33.43,Moderate
STU-0175,balanced,9.2,7.1,5.1,83.5,64.2,6,2,0,0,0,0,0.8,2.5,26.14,Low
STU-0176,balanced,6.2,7.4,6.9,87.8,83.0,62,7,0,0,0,0,0.9,0.9,32.85,Moderate
STU-0177,overworked,5.0,4.7,11.5,83.6,74.6,86,7,1,1,0,1,1.0,1.7,69.19,High
STU-0178,struggling,4.1,4.8,5.8,68.1,58.5,26,4,1,1,0,1,0.6,4.3,68.24,High
STU-0179,at_risk,1.5,1.5,5.1,31.5,35.3,63,6,0,0,1,1,0.0,6.8,100.0,Critical
STU-0180,balanced,8.1,6.5,5.3,84.3,73.0,45,1,0,0,0,0,1.8,2.1,21.74,Low
STU-0181,overworked,6.5,6.2,9.8,65.0,74.0,40,6,0,1,0,1,0.2,1.8,55.47,High
STU-0182,struggling,5.9,4.5,4.0,82.4,54.9,41,2,0,0,1,1,1.0,5.6,53.28,Moderate
STU-0183,high_achiever,8.4,6.8,8.5,94.4,84.2,13,3,0,0,0,0,0.5,1.3,29.75,Low
STU-0184,overworked,4.6,5.6,12.0,81.9,58.0,28,5,1,1,0,0,0.5,3.2,63.01,High
STU-0185,high_achiever,7.7,6.5,6.1,94.2,84.3,44,5,1,0,0,0,1.2,1.0,33.43,Moderate
STU-0186,high_achiever,8.4,6.2,9.1,89.0,86.3,25,2,0,0,0,0,1.4,0.7,23.39,Low
STU-0187,struggling,1.7,6.0,2.7,85.0,45.2,63,7,0,0,1,0,0.4,7.1,69.51,High
STU-0188,high_achiever,9.4,7.3,8.2,94.0,89.7,81,5,0,1,0,0,0.8,1.0,29.02,Low
STU-0189,at_risk,2.3,3.0,3.0,62.3,39.1,38,4,1,1,1,1,0.4,3.9,90.43,Critical
STU-0190,struggling,2.9,2.3,3.4,60.5,70.2,47,4,1,1,1,1,0.5,3.3,87.13,Critical
STU-0191,balanced,8.4,7.5,5.2,74.3,72.0,59,8,0,0,0,0,1.6,2.9,27.69,Low
STU-0192,at_risk,2.0,2.4,2.2,21.5,41.9,24,5,0,1,0,1,0.1,5.3,95.62,Critical
STU-0193,struggling,4.8,3.9,1.7,30.0,51.7,43,1,1,0,1,0,0.8,7.3,77.45,Critical
STU-0194,struggling,3.1,5.1,2.0,65.6,61.2,66,2,1,1,1,0,0.7,4.6,67.73,High
STU-0195,overworked,4.2,4.2,9.2,81.7,79.1,6,5,0,1,0,0,0.2,3.4,75.14,Critical
STU-0196,balanced,7.2,6.4,2.6,89.1,80.9,84,2,1,0,0,0,1.1,1.8,34.03,Moderate
STU-0197,overworked,3.2,4.5,10.7,65.5,72.9,89,6,0,1,0,0,0.0,2.6,64.73,High
STU-0198,balanced,5.6,7.9,4.6,75.5,76.6,42,2,0,1,0,0,1.7,1.2,29.72,Low
STU-0199,struggling,4.6,5.3,3.8,57.6,42.1,82,6,0,0,0,0,0.3,3.2,50.62,Moderate
STU-0200,struggling,4.7,5.6,0.0,49.9,59.4,62,3,1,0,0,1,0.9,4.8,63.02,High
STU-0201,balanced,7.0,8.1,4.7,75.6,71.1,69,8,1,1,0,0,0.8,1.9,42.87,Moderate
STU-0202,balanced,7.5,6.8,5.1,69.5,82.1,20,2,0,0,1,0,1.2,1.7,34.82,Moderate
STU-0203,high_achiever,8.0,6.0,6.5,96.7,85.7,52,5,0,0,0,0,0.4,1.9,29.16,Low
STU-0204,struggling,6.8,5.8,2.8,77.4,52.8,57,3,1,0,1,0,0.6,5.5,51.24,Moderate
STU-0205,struggling,3.0,5.7,3.0,57.2,40.5,47,7,1,0,1,0,0.4,7.9,77.2,Critical
STU-0206,overworked,5.5,6.4,9.4,82.5,59.4,25,2,1,1,0,0,0.5,2.1,51.55,Moderate
STU-0207,at_risk,3.7,6.0,2.9,52.9,40.3,66,1,1,0,1,0,0.0,6.9,71.18,High
STU-0208,overworked,5.8,6.3,8.0,89.4,83.2,55,1,0,1,0,1,0.4,0.5,44.43,Moderate
STU-0209,at_risk,3.8,3.5,0.5,40.4,48.1,6,6,1,0,1,1,0.2,5.7,100.0,Critical
STU-0210,struggling,3.4,3.4,5.9,58.1,66.6,12,5,1,0,1,1,0.8,6.3,91.11,Critical
STU-0211,high_achiever,8.1,6.5,5.9,92.6,77.9,17,7,1,1,0,0,1.5,1.2,40.27,Moderate
STU-0212,overworked,5.9,4.7,10.4,73.3,78.7,70,8,1,1,1,0,0.0,2.3,69.91,High
STU-0213,overworked,4.0,4.3,10.3,79.8,73.5,81,7,0,1,1,0,0.5,2.7,65.32,High
STU-0214,balanced,7.6,6.8,6.3,97.2,73.9,73,3,0,0,0,0,0.8,2.5,26.27,Low
STU-0215,high_achiever,6.1,7.1,6.4,90.5,87.0,23,1,1,1,0,0,1.1,1.8,38.32,Moderate
STU-0216,struggling,4.8,4.2,4.6,69.4,40.8,64,8,1,0,0,0,0.6,4.0,65.69,High
STU-0217,balanced,7.6,8.5,5.2,79.2,74.8,2,5,0,1,0,0,1.1,2.3,33.84,Moderate
STU-0218,high_achiever,7.0,5.8,8.1,99.6,84.4,42,2,1,0,0,0,0.9,1.4,39.81,Moderate
STU-0219,balanced,6.3,7.2,6.7,86.0,76.5,59,7,0,0,0,0,1.6,0.2,29.97,Low
STU-0220,struggling,3.0,2.3,4.3,78.5,50.4,37,3,0,1,0,0,0.6,7.2,73.2,High
STU-0221,balanced,8.8,7.6,5.6,69.2,73.0,69,7,1,1,0,0,0.9,3.1,39.93,Moderate
STU-0222,overworked,5.7,5.6,9.6,95.0,63.8,83,5,0,1,0,0,0.5,1.6,45.47,Moderate
STU-0223,overworked,4.6,5.0,8.9,71.1,55.9,49,5,0,1,0,0,0.4,1.0,55.55,High
STU-0224,at_risk,2.6,2.0,1.5,36.7,41.8,10,6,1,0,0,1,0.4,2.4,100.0,Critical
STU-0225,balanced,7.0,7.5,5.8,76.0,72.4,10,5,0,0,0,0,0.9,2.4,31.18,Moderate
STU-0226,struggling,6.9,4.4,2.4,43.8,30.4,44,7,1,0,1,0,0.0,5.2,77.19,Critical
STU-0227,balanced,5.6,7.7,4.9,83.2,87.9,7,1,0,0,0,0,1.6,1.6,25.84,Low
STU-0228,struggling,1.0,3.6,3.2,50.2,50.4,3,2,1,0,0,1,0.3,4.5,100.0,Critical
STU-0229,high_achiever,7.9,6.8,5.7,98.1,84.4,82,5,0,1,0,0,1.0,1.8,32.35,Moderate
STU-0230,overworked,6.9,5.3,8.6,81.6,58.6,47,5,0,1,1,0,0.4,2.2,49.59,Moderate
STU-0231,overworked,5.3,3.1,8.7,78.9,71.6,35,3,1,1,0,0,0.1,3.2,61.73,High
STU-0232,at_risk,3.5,3.9,1.0,70.0,23.7,15,4,1,1,1,0,0.3,8.2,87.14,Critical
STU-0233,high_achiever,8.9,6.3,7.3,92.3,84.2,62,3,0,1,0,0,1.3,1.8,26.25,Low
STU-0234,balanced,8.5,5.7,6.7,91.0,66.3,11,5,0,0,0,0,1.0,1.1,32.04,Moderate
STU-0235,struggling,3.5,5.4,5.5,78.7,45.3,20,2,0,0,1,1,0.2,2.3,56.22,High
STU-0236,high_achiever,8.6,7.6,5.5,88.0,84.8,63,0,0,1,0,0,1.1,1.0,23.6,Low
